country_name,country_code,indicator_name,indicator_code,debt_2021,debt_2022,total_debt2023
Afghanistan,AFG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,14054000,9041000,96062291.8
Afghanistan,AFG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,14054000,9041000,91270291.8
Afghanistan,AFG,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,0,0,82455622.7
Afghanistan,AFG,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,0,0,82455622.7
Afghanistan,AFG,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,0,0,73476313.3
Afghanistan,AFG,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,,,50505804.5
Afghanistan,AFG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,14054000,9041000,40764487.3
Afghanistan,AFG,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,5180000,2976000,32362769.5
Afghanistan,AFG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,5180000,2976000,31585769.5
Afghanistan,AFG,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,,,20199826.3
Afghanistan,AFG,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,5180000,2976000,11385943.2
Afghanistan,AFG,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,0,0,8979309.4
Afghanistan,AFG,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,,,4792000
Afghanistan,AFG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,,,777000
Afghanistan,AFG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,0,0,0
Afghanistan,AFG,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Afghanistan,AFG,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,0,0,0
Afghanistan,AFG,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,,,
Afghanistan,AFG,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,,,
Afghanistan,AFG,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,,,
Afghanistan,AFG,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,,,
Afghanistan,AFG,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,,,
Afghanistan,AFG,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,,,
Afghanistan,AFG,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,,,
Afghanistan,AFG,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,,,
Albania,ALB,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,692868776.3,499035493.9,1507045529
Albania,ALB,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,323369000,216098000,1065183270
